,Year,IPC
0,2018,3.2425
1,2017,4.3217
2,2016,7.5233
3,2015,4.9842
4,2014,2.8975
5,2013,2.0183
6,2012,3.1708
7,2011,3.415
8,2010,2.2708
9,2009,4.2342
10,2008,6.99
11,2007,5.5433
12,2006,4.2967
13,2005,5.0517
14,2004,5.9067
15,2003,7.1358
16,2002,6.3533
17,2001,7.9725
18,2000,9.2217
19,1999,10.9808
20,1998,18.6967
21,1997,18.5025
22,1996,20.7717
23,1995,20.9042
